Date,Open,High,Low,Close,Adj Close,Volume
2020-01-09,10537.148438,10557.863281,10244.492188,10292.391602,10292.391602,31411157115
2020-01-10,10291.393555,10658.046875,10084.097656,10658.046875,10658.046875,37474972656
2020-01-11,10652.353516,10725.657227,10479.365234,10489.669922,10489.669922,33307289735
2020-01-12,10484.089844,10714.464844,10464.892578,10704.575195,10704.575195,29926365499
2020-01-13,10701.018555,10703.302734,10549.124023,10633.329102,10633.329102,29354430130
2020-01-14,10629.071289,11602.653320,10637.570313,11535.037109,11535.037109,58593727932
2020-01-15,11531.874023,11593.113281,11289.362305,11484.737305,11484.737305,52295901011
2020-01-16,11491.872070,11537.156250,11231.507813,11377.168945,11377.168945,40838286105
2020-01-17,11379.026367,11704.951172,11338.041992,11666.948242,11666.948242,47524928400
2020-01-18,11664.563477,11775.608398,11534.057617,11684.942383,11684.942383,42253503847
2020-01-19,11683.161133,11972.735352,11261.660156,11374.230469,11374.230469,44703047243
2020-01-20,11372.123047,11409.060547,11167.566406,11294.328125,11294.328125,34469310191
2020-01-21,11296.086914,11448.523438,11172.387695,11435.694336,11435.694336,31508579575
2020-01-22,11433.493164,11553.572266,11348.271484,11406.254883,11406.254883,29695583313
2020-01-23,11405.958008,11406.708008,10941.774414,11037.460938,11037.460938,33836001889
2020-01-24,11036.215820,11194.616211,10868.787109,11103.592773,11103.592773,32077034161
2020-01-25,11096.605469,11120.708984,10907.412109,11001.585938,11001.585938,25831230917
2020-01-26,10997.066406,11321.465820,10957.038086,11314.132813,11314.132813,29187643865
2020-01-27,11314.763672,11840.948242,11339.205078,11751.382813,11751.382813,37783690790
2020-01-28,11754.951172,12320.069336,11727.480469,12320.069336,12320.069336,45284055075
2020-01-29,12318.594727,12414.458008,12233.695313,12295.938477,12295.938477,40494402071
2020-01-30,12295.129883,12622.020508,12196.277344,12563.709961,12563.709961,42780318160
2020-01-31,12562.811523,12604.453125,12219.332031,12377.856445,12377.856445,38961552591
2020-02-01,12372.333984,12495.398438,12328.493164,12433.913086,12433.913086,34315375763
2020-02-02,12429.869141,12538.212891,12205.882813,12373.444336,12373.444336,40831480270
2020-02-03,12373.865234,12682.827148,12294.996094,12354.667969,12354.667969,41123323887
2020-02-04,12353.764648,12394.962891,12104.784180,12195.311523,12195.311523,39707893153
2020-02-05,12198.570313,12887.498047,12173.339844,12770.760742,12770.760742,46790042327
2020-02-06,12776.601563,13053.381836,12674.984375,12927.404297,12927.404297,49995160341
2020-02-07,12922.356445,13085.975586,12941.322266,13034.384766,13034.384766,45935583556
2020-02-08,13030.561523,13141.904297,12878.660156,13126.429688,13126.429688,46799569709
2020-02-09,13124.799805,13480.606445,13109.247070,13463.623047,13463.623047,47654386186
2020-02-10,13462.140625,13538.868164,13031.179688,13127.133789,13127.133789,52455398591
2020-02-11,13126.174805,13569.568359,12930.674805,13567.154297,13567.154297,50035776850
2020-02-12,13559.380859,13780.473633,13526.937500,13690.902344,13690.902344,57601064676
2020-02-13,13688.125977,13873.422852,13420.423828,13550.722656,13550.722656,65477343678
2020-02-14,13546.969727,13677.625000,13417.293945,13664.533203,13664.533203,57427317149
2020-02-15,13666.839844,13703.543945,13084.554688,13104.426758,13104.426758,58125364831
2020-02-16,13104.102539,13316.783203,12877.593750,13158.455078,13158.455078,57451197758
